title,description,desc_length,author,avg_rating,rating_count,wavg_rating,rating_class,api_publisher,api_page_count,desc_clean,desc_yake,sentiment,negative,neutral,positive,compound,comp_score
The Blade Itself ,"Logen Ninefingers, infamous barbarian, has finally run out of luck. Caught in one feud too many, he’s on the verge of becoming a dead barbarian – leaving nothing behind him but bad songs, dead friends, and a lot of happy enemies. Nobleman Captain Jezal dan Luthar, dashing officer, and paragon of selfishness, has nothing more dangerous in mind than fleecing his friends at cards and dreaming of glory in the fencing circle. But war is brewing, and on the battlefields of the frozen North they fight by altogether bloodier rules. Inquisitor Glokta, cripple turned torturer, would like nothing better than to see Jezal come home in a box. But then Glokta hates everyone: cutting treason out of the Union one confession at a time leaves little room for friendship. His latest trail of corpses may lead him right to the rotten heart of government, if he can stay alive long enough to follow it. Enter the wizard, Bayaz. A bald old man with a terrible temper and a pathetic assistant, he could be the First of the Magi, he could be a spectacular fraud, but whatever he is, he's about to make the lives of Logen, Jezal, and Glokta a whole lot more difficult. Murderous conspiracies rise to the surface, old scores are ready to be settled, and the line between hero and villain is sharp enough to draw blood.",1073,Joe Abercrombie,4.17,190660,0.9787586382078638,High,Orion Books,617.0,logen ninefingers infamous barbarian finally luck catch feud many verge become dead barbarian leave nothing behind songs dead friends happy enemies nobleman captain jezal luthar dash officer paragon selfishness nothing dangerous mind fleece friends card dream glory fence circle brew battlefields freeze north fight altogether bloodier rule inquisitor glokta cripple turn torturer would like nothing better jezal come home glokta everyone treason union confession time leave little room friendship latest trail corpses lead right rotten heart government stay alive long enough follow enter wizard bayaz bald terrible temper pathetic assistant could first magi could spectacular fraud whatever make live logen jezal glokta whole difficult murderous conspiracies rise surface score ready settle line hero villain sharp enough draw blood,jezal glokta ninefingers catch brew rule sharp,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
Prince of Thorns ,"Before the thorns taught me their sharp lessons and bled weakness from me I had but one brother, and I loved him well. But those days are gone and what is left of them lies in my mother's tomb. Now I have many brothers, quick with knife and sword, and as evil as you please. We ride this broken empire and loot its corpse. They say these are violent times, the end of days when the dead roam and monsters haunt the night. All that's true enough, but there's something worse out there, in the dark. Much worse.From being a privileged royal child, raised by a loving mother, Jorg Ancrath has become the Prince of Thorns, a charming, immoral boy leading a grim band of outlaws in a series of raids and atrocities. The world is in chaos: violence is rife, nightmares everywhere. Jorg has the ability to master the living and the dead, but there is still one thing that puts a chill in him. Returning to his father's castle Jorg must confront horrors from his childhood and carve himself a future with all hands turned against him.Mark Lawrence's debut novel tells a tale of blood and treachery, magic and brotherhood and paints a compelling and brutal, and sometimes beautiful, picture of an exceptional boy on his journey toward manhood and the throne.",1026,Mark  Lawrence,3.85,105198,0.4985922765494222,High,Penguin,336.0,thorns teach sharp lessons bleed weakness brother love well days leave mother tomb many brothers quick knife sword evil please ride break empire loot corpse violent time days dead roam monsters haunt night true enough something worse dark much worse privilege royal child raise love mother jorg ancrath become prince thorns charm immoral lead grim band outlaw series raid atrocities world chaos violence rife nightmares everywhere jorg ability master live dead still thing chill return father castle jorg must confront horrors childhood carve future hand turn mark lawrence debut novel tell tale blood treachery magic brotherhood paint compel brutal sometimes beautiful picture exceptional journey toward manhood throne,jorg days bleed quick night atrocities exceptional,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
Before They Are Hanged ,"Superior Glokta has a problem. How do you defend a city surrounded by enemies and riddled with traitors, when your allies can by no means be trusted, and your predecessor vanished without a trace? It’s enough to make a torturer want to run – if he could even walk without a stick.Northmen have spilled over the border of Angland and are spreading fire and death across the frozen country. Crown Prince Ladisla is poised to drive them back and win undying glory. There is only one problem – he commands the worst-armed, worst-trained, worst-led army in the world.And Bayaz, the First of the Magi, is leading a party of bold adventurers on a perilous mission through the ruins of the past. The most hated woman in the South, the most feared man in the North, and the most selfish boy in the Union make a strange alliance, but a deadly one. They might even stand a chance of saving mankind from the Eaters. If they didn’t hate each other quite so much.Ancient secrets will be uncovered. Bloody battles will be won and lost. Bitter enemies will be forgiven – but not before they are hanged.",892,Joe Abercrombie,4.29,133225,0.7035936598287498,High,Hachette UK,592.0,superior glokta problem defend city surround enemies riddle traitors ally mean trust predecessor vanish without trace enough make torturer want could even walk without stick northmen spill border angland spread fire death across freeze country crown prince ladisla poise drive back undying glory problem command worst worst train worst lead army world bayaz first magi lead party bold adventurers perilous mission ruin past woman south fear north selfish union make strange alliance deadly might even stand chance save mankind eaters hate quite much ancient secrets uncover bloody battle lose bitter enemies forgive hang,worst enemies hang ally crown,"{'neg': 0.709, 'neu': 0.291, 'pos': 0.0, 'compound': -0.8074}",0.709,0.291,0.0,-0.8074,Negative
Last Argument of Kings ,"The end is coming. Logen Ninefingers might only have one more fight in him but it's going to be a big one. Battle rages across the North, the King of the Northmen still stands firm, and there's only one man who can stop him. His oldest friend, and his oldest enemy. It's past time for the Bloody-Nine to come home. With too many masters and too little time, Superior Glokta is fighting a different kind of war. A secret struggle in which no one is safe, and no one can be trusted. His days with a sword are far behind him. It's a good thing blackmail, threats and torture still work well enough. Jezal dan Luthar has decided that winning glory is far too painful, and turned his back on soldiering for a simple life with the woman he loves. But love can be painful too, and glory has a nasty habit of creeping up on a man when he least expects it. While the King of the Union lies on his deathbead, the peasants revolt and the nobles scramble to steal his crown. No one believes that the shadow of war is falling across the very heart of the Union. The First of the Magi has a plan to save the world, as he always does. But there are risks. There is no risk more terrible, after all, than to break the First Law...",980,Joe Abercrombie,4.28,125058,0.6589218158272425,High,Hachette UK,544.0,come logen ninefingers might fight battle across north king northmen still stand firm stop oldest friend oldest enemy past time bloody come home many master little time superior glokta fight different kind secret struggle safe trust days sword behind good thing blackmail threats torture still work well enough jezal luthar decide glory painful turn back soldier simple life woman love love painful glory nasty habit creep least expect king union deathbead peasants revolt nobles scramble steal crown believe shadow fall across heart union first magi plan save world always risk risk terrible break first,fight glory union battle creep,"{'neg': 0.486, 'neu': 0.187, 'pos': 0.327, 'compound': -0.1779}",0.486,0.187,0.327,-0.1779,Negative
Best Served Cold ,"Springtime in Styria. And that means war. Springtime in Styria. And that means revenge.There have been nineteen years of blood. The ruthless Grand Duke Orso is locked in a vicious struggle with the squabbling League of Eight, and between them they have bled the land white. While armies march, heads roll and cities burn, behind the scenes bankers, priests and older, darker powers play a deadly game to choose who will be king.War may be hell but for Monza Murcatto, the Snake of Talins, the most feared and famous mercenary in Duke Orso's employ, it's a damn good way of making money too. Her victories have made her popular - a shade too popular for her employer's taste. Betrayed, thrown down a mountain and left for dead, Murcatto's reward is a broken body and a burning hunger for vengeance. Whatever the cost, seven men must die.Her allies include Styria's least reliable drunkard, Styria's most treacherous poisoner, a mass-murderer obsessed with numbers and a Northman who just wants to do the right thing. Her enemies number the better half of the nation. And that's all before the most dangerous man in the world is dispatched to hunt her down and finish the job Duke Orso started...Springtime in Styria. And that means revenge.",1029,Joe Abercrombie,4.16,75148,0.3848455833138389,High,Orion Books,757.0,springtime styria mean springtime styria mean revenge years blood ruthless grand duke orso lock vicious struggle squabble league bleed land white armies march head roll cities burn behind scenes bankers priests older darker power play deadly game choose king hell monza murcatto snake talins fear famous mercenary duke orso employ damn good make money victories make popular shade popular employer taste betray throw mountain leave dead murcatto reward break body burn hunger vengeance whatever cost must ally include styria least reliable drunkard styria treacherous poisoner mass murderer obsess number northman want right thing enemies number better half nation dangerous world dispatch hunt finish duke orso start springtime styria mean revenge,styria duke blood king hell mass,"{'neg': 0.479, 'neu': 0.521, 'pos': 0.0, 'compound': -0.6808}",0.479,0.521,0.0,-0.6808,Negative
King of Thorns ,"The second book in the Broken Empire series, Lawrence takes his young anti-hero one step closer to his grand ambition.To reach greatness you must step on bodies, and many brothers lie trodden in my wake. I’ve walked from pawn to player and I’ll win this game of ours, though the cost of it may drown the world in blood…The land burns with the fires of a hundred battles as lords and petty kings fight for the Broken Empire. The long road to avenge the slaughter of his mother and brother has shown Prince Honorous Jorg Ancrath the hidden hands behind this endless war. He saw the game and vowed to sweep the board. First though he must gather his own pieces, learn the rules of play, and discover how to break them.A six nation army, twenty thousand strong, marches toward Jorg's gates, led by a champion beloved of the people. Every decent man prays this shining hero will unite the empire and heal its wounds. Every omen says he will. Every good king knows to bend the knee in the face of overwhelming odds, if only to save their people and their lands. But King Jorg is not a good king.Faced by an enemy many times his strength Jorg knows that he cannot win a fair fight. But playing fair was never part of Jorg’s game plan.",1001,Mark  Lawrence,4.19,59168,0.30519319725770033,High,HarperCollins UK,608.0,second book break empire series lawrence take young anti hero step closer grand ambition reach greatness must step body many brothers tread wake walk pawn player game though cost drown world blood land burn fire battle lord petty kings fight break empire long road avenge slaughter mother brother show prince honorous jorg ancrath hide hand behind endless game sweep board first though must gather piece learn rule play discover break nation army strong march toward jorg gate lead champion beloved people every decent pray shin hero unite empire heal wound every omen every good king know bend knee face overwhelm odds save people land king jorg good king face enemy many time strength jorg know fair fight play fair never part jorg game plan,jorg break game fight anti show odds,"{'neg': 0.495, 'neu': 0.505, 'pos': 0.0, 'compound': -0.5994}",0.495,0.505,0.0,-0.5994,Negative
The Poppy War ,"A ""Best of May"" Science Fiction and Fantasy pick by Amazon, Barnes and Noble, Audible, The Verge, SyFy Wire, and Kirkus“I have no doubt this will end up being the best fantasy debut of the year [...] I have absolutely no doubt that [Kuang’s] name will be up there with the likes of Robin Hobb and N.K. Jemisin.” -- BooknestA brilliantly imaginative talent makes her exciting debut with this epic historical military fantasy, inspired by the bloody history of China’s twentieth century and filled with treachery and magic, in the tradition of Ken Liu’s Grace of Kings and N.K. Jemisin’s Inheritance Trilogy.When Rin aced the Keju—the Empire-wide test to find the most talented youth to learn at the Academies—it was a shock to everyone: to the test officials, who couldn’t believe a war orphan from Rooster Province could pass without cheating; to Rin’s guardians, who believed they’d finally be able to marry her off and further their criminal enterprise; and to Rin herself, who realized she was finally free of the servitude and despair that had made up her daily existence. That she got into Sinegard—the most elite military school in Nikan—was even more surprising.But surprises aren’t always good.Because being a dark-skinned peasant girl from the south is not an easy thing at Sinegard. Targeted from the outset by rival classmates for her color, poverty, and gender, Rin discovers she possesses a lethal, unearthly power—an aptitude for the nearly-mythical art of shamanism. Exploring the depths of her gift with the help of a seemingly insane teacher and psychoactive substances, Rin learns that gods long thought dead are very much alive—and that mastering control over those powers could mean more than just surviving school.For while the Nikara Empire is at peace, the Federation of Mugen still lurks across a narrow sea. The militarily advanced Federation occupied Nikan for decades after the First Poppy War, and only barely lost the continent in the Second. And while most of the people are complacent to go about their lives, a few are aware that a Third Poppy War is just a spark away . . .Rin’s shamanic powers may be the only way to save her people. But as she finds out more about the god that has chosen her, the vengeful Phoenix, she fears that winning the war may cost her humanity . . . and that it may already be too late.",1948,R.F. Kuang,4.07,91910,0.4605046988508179,High,HarperCollins,544.0,best science fiction fantasy pick amazon barnes noble audible verge syfy wire kirkus doubt best fantasy debut year absolutely doubt kuang name like robin hobb jemisin booknesta brilliantly imaginative talent make excite debut epic historical military fantasy inspire bloody history china twentieth century fill treachery magic tradition grace kings jemisin inheritance trilogy keju empire wide test find talented youth learn academies shock everyone test officials could believe orphan rooster province could pass without cheat guardians believe would finally able marry criminal enterprise realize finally free servitude despair make daily existence sinegard elite military school nikan even surprise surprise always good dark skin peasant girl south easy thing sinegard target outset rival classmates color poverty gender discover possess lethal unearthly power aptitude nearly mythical shamanism explore depths gift help seemingly insane teacher psychoactive substances learn gods long think dead much alive master control power could mean survive school nikara empire peace federation mugen still lurk across narrow militarily advance federation occupy nikan decades first poppy barely lose continent second people complacent live aware third poppy spark away shamanic power save people find choose vengeful phoenix fear cost humanity already late,fantasy power debut school lurk,"{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.2023}",0.31,0.69,0.0,-0.2023,Negative
Red Country ,"'Joe Abercrombie is doing some terrific work' George R. R. Martin, author of GAME OF THRONES. They burned her home. They stole her brother and sister. But vengeance is following. Shy South hoped to bury her bloody past and ride away smiling, but she'll have to sharpen up some bad old ways to get her family back, and she's not a woman to flinch from what needs doing. She sets off in pursuit with only a pair of oxen and her cowardly old stepfather Lamb for company. But it turns out Lamb's buried a bloody past of his own, and out in the lawless Far Country, the past never stays buried. Their journey will take them across the barren plains to a frontier town gripped by gold fever, through feud, duel and massacre, high into the unmapped mountains to a reckoning with the Ghosts. Even worse, it will force them into alliance with Nicomo Cosca, infamous soldier of fortune, and his feckless lawyer Temple, two men no one should ever have to trust... The past never stays buried...",806,Joe Abercrombie,4.31,39415,0.20912632902977246,High,Hachette UK,560.0,abercrombie terrific work george martin author game throne burn home steal brother sister vengeance follow south bury bloody past ride away smile sharpen ways family back woman flinch need pursuit pair oxen cowardly stepfather lamb company turn lamb bury bloody past lawless country past never stay bury journey take across barren plain frontier town grip gold fever feud duel massacre high unmapped mountains reckon ghost even worse force alliance nicomo cosca infamous soldier fortune feckless lawyer temple ever trust past never stay bury,bury past home steal flinch reckon,"{'neg': 0.39, 'neu': 0.61, 'pos': 0.0, 'compound': -0.4939}",0.39,0.61,0.0,-0.4939,Negative
The Heroes ,"They say Black Dow's killed more men than winter, and clawed his way to the throne of the North up a hill of skulls. The King of the Union, ever a jealous neighbor, is not about to stand smiling by while he claws his way any higher. The orders have been given and the armies are toiling through the northern mud. Thousands of men are converging on a forgotten ring of stones, on a worthless hill, in an unimportant valley, and they've brought a lot of sharpened metal with them.THE HEROESFor glory, for victory, for staying alive.",434,Joe Abercrombie,4.3,47875,0.2534249618951873,High,Hachette UK,560.0,black kill winter claw throne north hill skulls king union ever jealous neighbor stand smile claw higher order give armies toil northern thousands converge forget ring stone worthless hill unimportant valley bring sharpen metal heroesfor glory victory stay alive,black hill north stone,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
A Little Hatred ,"The chimneys of industry rise over Adua and the world seethes with new opportunities. But old scores run deep as ever.On the blood-soaked borders of Angland, Leo dan Brock struggles to win fame on the battlefield, and defeat the marauding armies of Stour Nightfall. He hopes for help from the crown. But King Jezal's son, the feckless Prince Orso, is a man who specializes in disappointments.Savine dan Glokta - socialite, investor, and daughter of the most feared man in the Union - plans to claw her way to the top of the slag-heap of society by any means necessary. But the slums boil over with a rage that all the money in the world cannot control.The age of the machine dawns, but the age of magic refuses to die. With the help of the mad hillwoman Isern-i-Phail, Rikke struggles to control the blessing, or the curse, of the Long Eye. Glimpsing the future is one thing, but with the guiding hand of the First of the Magi still pulling the strings, changing it will be quite another...",814,Joe Abercrombie,4.46,22876,0.12559615911721614,High,Hachette UK,480.0,chimneys industry rise adua world seethe opportunities score deep ever blood soak border angland brock struggle fame battlefield defeat maraud armies stour nightfall help crown king jezal feckless prince orso specialize disappointments savine glokta socialite investor daughter fear union plan claw slag heap society mean necessary slum boil rage money world control machine dawn magic refuse help hillwoman isern phail rikke struggle control bless curse long glimpse future thing guide hand first magi still pull string change quite another,chimneys world industry brock jezal,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Positive
